CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
203	305	15737	147745	Xenobiotics	Chemical	6182	NAMED	AEMRFAOFKBGASW-UHFFFAOYSA-N	OCC(O)=O	glycolate (hydroxyacetate)	glycolate (hydroxyacetate)	79-14-1	737	HMDB0000115	C00160	757	Polar
211	400	1553	155395	Nucleotide	Purine Metabolism, Adenine containing	4188	NAMED	OLXZPDWKRNYJJZ-UHFFFAOYSA-N	NC1=C(N=CN2C(CC3O)OC3CO)C2=NC=N1	2'-deoxyadenosine	2'-deoxyadenosine	16373-93-6	13135	HMDB0000101	C00559	13730	Pos Early
212	400	1419	155365	Amino Acid	Polyamine Metabolism	564	NAMED	WUUGFSXJNOTRMR-IOSLPCCCSA-N	NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3	5-methylthioadenosine (MTA)	5-methylthioadenosine (MTA)	2457-80-9	388321	HMDB0001173	C00170	439176	Pos Early
231	400	1638	155435	Amino Acid	Urea cycle; Arginine and Proline Metabolism	490	NAMED	ODKSFYDXXFIFQN-UHFFFAOYSA-N	N=C(N)NCCCC(N)C(O)=O	arginine	arginine	1119-34-2	227	HMDB0000517	C00062	6322	Pos Early
233	209	32354	124931	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4367	NAMED	CIWBSHSKHKDKBQ-UHFFFAOYSA-N	OCC(O)C1OC(C(O)=C1O)=O	ascorbate (vitamin C)	ascorbate (vitamin C)	134-03-2	10189562	HMDB0000044	D00018,C00072	54670067	Neg
234	400	443	155304	Amino Acid	Alanine and Aspartate Metabolism	36	NAMED	CKLJMWTZIZZHCS-UHFFFAOYSA-N	NC(C(O)=O)CC(O)=O	aspartate	aspartate	56-84-8	5745	HMDB0000191	C00049	5960	Pos Early
240	209	32197	123321	Amino Acid	Tyrosine Metabolism	186	NAMED	JVGVDSSUAVXRDY-UHFFFAOYSA-N	OC(C(O)=O)CC1=CC=C(O)C=C1	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate (HPLA)	6482-98-0	9010	HMDB0000755	C03672	9378	Neg
241	209	566	124529	Amino Acid	Phenylalanine Metabolism	155	NAMED	BTNMPGBKDVTSJY-UHFFFAOYSA-N	O=C(C(O)=O)CC1=CC=CC=C1	phenylpyruvate	phenylpyruvate	156-06-9	972	HMDB0000205	C00166	997	Neg
251	400	568	155324	Cofactors and Vitamins	Biotin Metabolism	4404	NAMED	YBJHBAHKTGYVGT-UHFFFAOYSA-N	OC(CCCCC(SC1)C(N2)C1NC2=O)=O	biotin	biotin	58-85-5	149962	HMDB0000030	C00120	171548	Pos Early
252	305	1437	147106	Energy	TCA Cycle	1465	NAMED	KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(CCC(O)=O)=O	succinate	succinate	110-15-6	1078	HMDB0000254	C00042	1110	Polar
267	400	34396	156099	Lipid	Phospholipid Metabolism	2250	NAMED	YHHSONZFOIEMCP-UHFFFAOYSA-N	C[N+](C)(CCOP(O)([O-])=O)C	choline phosphate	phosphocholine	72556-74-2	119298	HMDB0001565	C00588	1014	Pos Early
275	400	513	155307	Amino Acid	Creatine Metabolism	537	NAMED	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN(C(N1)=N)CC1=O	creatinine	creatinine	60-27-5	568	HMDB0000562	C00791	588	Pos Early
279	400	56	155296	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	468	NAMED	LEVWYRKDKASIDU-UHFFFAOYSA-N	NC(C(O)=O)CSSCC(N)C(O)=O	cystine	cystine	56-89-3	575	HMDB0000192	C00491	67678	Pos Early
282	400	2372	155469	Nucleotide	Pyrimidine Metabolism, Cytidine containing	4266	NAMED	IERHLVCPSMICTF-UHFFFAOYSA-N	NC1=NC(N(C2OC(C(C2O)O)COP(O)(O)=O)C=C1)=O	cytidine 5'-monophosphate (5'-CMP)	CMP	63-37-6	5414497	HMDB0000095	C00055	6131	Pos Early
301	305	1659	152114	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4371	NAMED	SBJKKFFYIZUCET-UHFFFAOYSA-N	OCC(C1OC(C(C1=O)=O)=O)O	dehydroascorbate	dehydroascorbate	490-83-5	812	HMDB0001264	C05422	440667	Polar
310	400	15705	155581	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	459	NAMED	ILRYLPWNYFXEMH-UHFFFAOYSA-N	OC(C(CCSCC(N)C(O)=O)N)=O	cystathionine	cystathionine	535-34-2	811	HMDB0000099	C02291	439258	Pos Early
311	400	15128	155533	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	456	NAMED	FFFHZYDWPBMWHY-UHFFFAOYSA-N	O=C(C(CCS)N)O	homocysteine	homocysteine	454-29-5	757	HMDB0000742	C00155	778	Pos Early
328	209	1826	123223	Cofactors and Vitamins	Folate Metabolism	4406	NAMED	OVBPIULPVIDEAO-UHFFFAOYSA-N	OC1=C(N=C2CNC3=CC=C(C(NC(C(O)=O)CCC(O)=O)=O)C=C3)C(N=C2)=NC(N)=N1	folate	folate	59-30-3	5815	HMDB0000121	C00504	6037	Neg
330	305	1643	146876	Energy	TCA Cycle	1466	NAMED	VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(/C=C/C(O)=O)=O	fumarate	fumarate	100-17-8	10197150	HMDB0000134	C00122	444972	Polar
331	400	36738	156248	Peptide	Gamma-glutamyl Amino Acid	649	NAMED	OWQDWQKWSLFFFR-UHFFFAOYSA-N	O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O	gamma-glutamylglutamate	gamma-glutamylglutamate	1116-22-9	83831	HMDB0011737	C05282	92865	Pos Early
338	305	587	147098	Xenobiotics	Food Component/Plant	4826	NAMED	RGHNJXZEOKUKBD-SQOUGZDYSA-N	OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O	gluconate	gluconate	527-07-1	10240	HMDB0000625	C00257	10690,3085666	Polar
339	305	396	146390	Lipid	Fatty Acid, Dicarboxylate	1676	NAMED	JFCQEDHGNNZCLN-UHFFFAOYSA-N	OC(CCCC(O)=O)=O	glutarate (C5-DC)	glutarate (C5-DC)	110-94-1	3618533	HMDB0000661	C00489	743,4418048	Polar
340	400	58	160611	Amino Acid	Glycine, Serine and Threonine Metabolism	1	NAMED	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	glycine	glycine	56-40-6	730	HMDB0000123	C00037	750	Pos Early
354	400	1574	155412	Amino Acid	Histidine Metabolism	90	NAMED	NTYJJOPFIAHURM-UHFFFAOYSA-N	NCCC1=CNC=N1	histamine	histamine	51-45-6	753	HMDB0000870	C00388	774	Pos Early
355	209	59	123153	Amino Acid	Histidine Metabolism	72	NAMED	HNDVDQJCIGZPNO-UHFFFAOYSA-N	NC(C(O)=O)CC1=CN=CN1	histidine	histidine	5934-29-2	752	HMDB0000177	C00135	6274	Neg
361	209	1123	123191	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4138	NAMED	UGQMRVRMYYASKQ-KQYNXXCUSA-N	O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O	inosine	inosine	58-63-9	21241953	HMDB0000195	C00294	6021	Neg
376	400	1125	155350	Amino Acid	Leucine, Isoleucine and Valine Metabolism	390	NAMED	AGPKZVBTJJNPAG-UHFFFAOYSA-N	NC(C(O)=O)C(C)CC	isoleucine	isoleucine	73-32-5	769	HMDB0000172	C06418,C00407,C16424	6306	Pos Early
382	305	47089	180870	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	487	NAMED	XVOYSCVBGLVSOL-UHFFFAOYSA-N	O=C(O)C(N)CS(=O)(O)=O	3-sulfo-alanine	3-sulfo-alanine	498-40-8	65718	HMDB0002757	C00506	72886	Polar
391	400	2132	155460	Amino Acid	Urea cycle; Arginine and Proline Metabolism	499	NAMED	RHGKLRLOHDJJDR-UHFFFAOYSA-N	NC(C(O)=O)CCCNC(N)=O	citrulline	citrulline	372-75-8	810	HMDB0000904	C00327	9750	Pos Early
393	305	567	147468	Carbohydrate	Disaccharides and Oligosaccharides	1321	NAMED	GUBGYTABKSRVRQ-DCSYEGIMSA-N	O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O	lactose	lactose	5965-66-2	5904	HMDB0041627	C01970	6134	Polar
397	400	60	155300	Amino Acid	Leucine, Isoleucine and Valine Metabolism	337	NAMED	ROHFNLRQFUQHCH-YFKPBYRVSA-N	O=C([C@H](CC(C)C)N)O	leucine	leucine	61-90-5		HMDB0000687	C00123	6106	Pos Early
407	400	1301	155354	Amino Acid	Lysine Metabolism	107	NAMED	KDXKERNSBIXSRK-UHFFFAOYSA-N	NC(C(O)=O)CCCCN	lysine	lysine	56-87-1	5747	HMDB0003405	C00739,C00047	5962	Pos Early
409	305	1303	145720	Energy	TCA Cycle	1468	NAMED	BJEPYKJPYRNKOW-UHFFFAOYSA-N	OC(C(O)=O)CC(O)=O	malate	malate	6915-15-7	510	HMDB0031518,HMDB0000156,HMDB0000744	C00149,C00711,C00497	525	Polar
415	400	1302	155355	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	440	NAMED	FFEARJCKVFRZRR-UHFFFAOYSA-N	CSCCC(N)C(O)=O	methionine	methionine	63-68-3	5907	HMDB0000696	C00073	6137	Pos Early
418	305	1496	145730	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1791	NAMED	ZIYVHBGGAOATLY-UHFFFAOYSA-N	O=C(C(C(O)=O)C)O	methylmalonate (MMA)	methylmalonate (MMA)	516-05-2	473	HMDB0000202	C02170	487	Polar
432	400	594	155332	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4323	NAMED	DFPAKSUCGFBDDF-UHFFFAOYSA-N	NC(C1=CN=CC=C1)=O	nicotinamide	nicotinamide	98-92-0	911	HMDB0001406	C00153	936	Pos Early
444	400	1493	155375	Amino Acid	Urea cycle; Arginine and Proline Metabolism	494	NAMED	AHLPHDHHMVZTML-BYPYZUCNSA-N	O=C(O)[C@@H](N)CCCN	ornithine	ornithine	3184-13-2	6026	HMDB0000214	C00077	6262	Pos Early
445	305	1505	146440	Nucleotide	Pyrimidine Metabolism, Orotate containing	4226	NAMED	PXQPEWDEAKTCGB-UHFFFAOYSA-N	O=C(C1=CC(O)=NC(O)=N1)O	orotate	orotate	50887-69-9	942	HMDB0000226	C00295	967	Polar
460	400	64	155301	Amino Acid	Phenylalanine Metabolism	142	NAMED	COLNVLDHVKWLRT-UHFFFAOYSA-N	NC(C(O)=O)CC1=CC=CC=C1	phenylalanine	phenylalanine	63-91-2	5910	HMDB0000159	C00079	6140	Pos Early
461	400	42109	156915	Energy	Oxidative Phosphorylation	1485	NAMED	NBIIXXVUZAFLBC-UHFFFAOYSA-N	O=P(O)(O)O	phosphate	phosphate	7664-38-2	1032	HMDB0001429	C00009	1061	Pos Early
480	400	1898	155455	Amino Acid	Urea cycle; Arginine and Proline Metabolism	502	NAMED	ONIBWKKTOPOVIA-UHFFFAOYSA-N	OC(C1CCCN1)=O	proline	proline	147-85-3	128566	HMDB0000162,HMDB0003411	C00148,C000763	8988,145742,614	Pos Early
482	305	527	146396	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1256	NAMED	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(O)C(O)=O	lactate	lactate	79-33-4	592	HMDB0000190	C00186	612	Polar
500	400	1827	155451	Cofactors and Vitamins	Riboflavin Metabolism	4351	NAMED	AUNGANRZJHBGPY-UHFFFAOYSA-N	OC(C(O)C(O)CO)CN1C(C=C2C)=C(C=C2C)N=C(C(N3)=O)C1=NC3=O	riboflavin (vitamin B2)	riboflavin (vitamin B2)	83-88-5	431981	HMDB0000244	C00255	493570	Pos Early
503	400	1648	155437	Amino Acid	Glycine, Serine and Threonine Metabolism	10	NAMED	MTCFGRXMJLQNBG-REOHCLBHSA-N	OC([C@@H](N)CO)=O	serine	serine	56-45-1	5736	HMDB0000187	C00065	5951	Pos Early
512	305	2125	147494	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	477	NAMED	XOAAWQZATWQOTB-UHFFFAOYSA-N	NCCS(=O)(O)=O	taurine	taurine	107-35-7	1091	HMDB0000251	C00245	1123	Polar
535	209	606	123185	Nucleotide	Pyrimidine Metabolism, Uracil containing	4238	NAMED	DRTQHJPVMGBUCF-UHFFFAOYSA-N	OC1C(N(C=CC2=O)C(N2)=O)OC(CO)C1O	uridine	uridine	58-96-8	5807	HMDB0000296	C00299	6029	Neg
561	400	57	155297	Amino Acid	Glutamate Metabolism	46	NAMED	WHUUTDBJXJRKMK-VKHMYHEASA-N	O=C(O)[C@@H](N)CCC(O)=O	glutamate	glutamate	56-86-0	591	HMDB0000148	C00025,C00217	33032	Pos Early
563	400	53	155293	Amino Acid	Glutamate Metabolism	47	NAMED	ZDXPYRJPNDTMRX-VKHMYHEASA-N	OC([C@@H](N)CCC(N)=O)=O	glutamine	glutamine	56-85-9	5746	HMDB0000641	C00064	5961	Pos Early
564	400	1284	155352	Amino Acid	Glycine, Serine and Threonine Metabolism	17	NAMED	AYFVYJQAPQTCCC-GBXIJSLDSA-N	N[C@H](C(O)=O)[C@H](O)C	threonine	threonine	72-19-5	6051	HMDB0000167	C00188	6288	Pos Early
565	400	54	155294	Amino Acid	Tryptophan Metabolism	259	NAMED	QIVBCDIJIAJPQS-VIFPVBQESA-N	O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2	tryptophan	tryptophan	73-22-3	6066	HMDB0000929	C00078	6305	Pos Early
566	400	1649	155438	Amino Acid	Leucine, Isoleucine and Valine Metabolism	421	NAMED	KZSNJWFQEVHDMF-BYPYZUCNSA-N	N[C@H](C(O)=O)C(C)C	valine	valine	72-18-4	6050	HMDB0000883	C00183	6287	Pos Early
567	400	1504	155382	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4320	NAMED	PVNIIMVLHYAWGP-UHFFFAOYSA-N	OC(C1=CC=CN=C1)=O	nicotinate	nicotinate	59-67-6	913	HMDB0001488	C00253	938	Pos Early
568	400	2150	155464	Cofactors and Vitamins	Vitamin B6 Metabolism	4467	NAMED	NHZMQXZHNVQTQA-UHFFFAOYSA-N	NCC(C(O)=C(C)N=C1)=C1CO	pyridoxamine	pyridoxamine	58052-48-5	1023	HMDB0001431	C00534	1052	Pos Early
572	305	48152	151982	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1239	NAMED	WQZGKKKJIJFFOK-DVKNGEFBSA-N	O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	glucose	glucose	50-99-7	71358	HMDB0000122	C00031	5793	Polar
798	209	555	124777	Nucleotide	Purine Metabolism, Adenine containing	4165	NAMED	OIRDTQYFTABQOQ-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3	adenosine	adenosine	58-61-7	54923	HMDB0000050	C00212	60961	Neg
799	400	3141	155487	Amino Acid	Glycine, Serine and Threonine Metabolism	7	NAMED	KWIUHFFTVRNATP-UHFFFAOYSA-N	O=C(C[N+](C)(C)C)[O-]	betaine	betaine	107-43-7	19951173,242	HMDB0000043	C00719	247	Pos Early
800	400	1868	155454	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	461	NAMED	XUJNEKJLAYXESH-REOHCLBHSA-N	SC[C@H](N)C(O)=O	cysteine	cysteine	56-89-3,52-90-4	5653	HMDB0000574	C00097	5862	Pos Early
811	400	1126	155351	Amino Acid	Alanine and Aspartate Metabolism	29	NAMED	QNAYBMKLOCPYGJ-REOHCLBHSA-N	O=C(O)[C@@H](N)C	alanine	alanine	56-41-7	5735	HMDB0000161	C00041	5950	Pos Early
815	400	1299	155353	Amino Acid	Tyrosine Metabolism	167	NAMED	OUYCCCASQSFEME-QMMMGPOBSA-N	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	tyrosine	tyrosine	60-18-4	5833	HMDB0000158	C00082	6057	Pos Early
818	305	15872	147518	Lipid	Fatty Acid Synthesis	1489	NAMED	OFOBLEOULBTSOW-UHFFFAOYSA-N	O=C(O)CC(O)=O	malonate	malonate	26522-22-85-0,141-82-2	844	HMDB0000691	C00383	867	Polar
821	209	33442	125870	Nucleotide	Pyrimidine Metabolism, Uracil containing	4240	NAMED	PTJWIQPHWPFNBW-GBNDHIKLSA-N	O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(C2=CNC(NC2=O)=O)[H]	pseudouridine	pseudouridine	1445-07-4	21403010	HMDB0000767	C02067	15047	Neg
823	305	22250	146516	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1255	NAMED	LCTONWCANYUPML-UHFFFAOYSA-N	CC(C(O)=O)=O	pyruvate	pyruvate	127-17-3	96901	HMDB0000243	C00022	1060	Polar
825	305	605	146422	Nucleotide	Pyrimidine Metabolism, Uracil containing	4239	NAMED	ISAKRJDGNUQOIC-UHFFFAOYSA-N	O=C(NC=C1)NC1=O	uracil	uracil	66-22-8	1141	HMDB0000300	C00106	1174	Polar
826	305	15581	146484	Carbohydrate	Pentose Metabolism	1283	NAMED	PYMYPHUHKUWMLA-VPENINKCSA-N	O=C[C@@H]([C@H]([C@@H](CO)O)O)O	xylose	xylose	609-06-3	85957	HMDB0000098	C00181	135191	Polar
827	209	514	123161	Nucleotide	Pyrimidine Metabolism, Cytidine containing	4270	NAMED	UHDGCWIWMRVCDJ-XVFCMESISA-N	OC[C@@H]1[C@H]([C@H]([C@H](N2C(N=C(C=C2)N)=O)O1)O)O	cytidine	cytidine	65-46-3	5940	HMDB0000089	C00475	6175	Neg
872	209	2183	124827	Nucleotide	Pyrimidine Metabolism, Thymine containing	4293	NAMED	IQFYYKKMVGJFEH-XLPZGREQSA-N	O=C(NC(C(C)=C1)=O)N1[C@]2([C@@]([C@@]([C@@](CO)(O2)[H])(O)[H])([H])[H])[H]	thymidine	thymidine	50-89-5	5585	HMDB0000273	C00214	5789	Neg
873	400	5341	155495	Cofactors and Vitamins	Thiamine Metabolism	4440	NAMED	OHQKBYLHTFYNQF-UHFFFAOYSA-N	NC1=C(C[N+]2=CSC(CC[O-])=C2C)C=NC(C)=N1	thiamin (vitamin B1)	thiamin (vitamin B1)	59-43-8		HMDB0000235	DG00125,C00378,D08580	1130	Pos Early
878	305	48195	153126	Carbohydrate	Fructose, Mannose and Galactose Metabolism	1363	NAMED	RFSUNEUAIZKAJO-ARQDHWQXSA-N	OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O	fructose	fructose	57-48-7	5764	HMDB0000660	C00095	2723872	Polar
880	400	554	155319	Nucleotide	Purine Metabolism, Adenine containing	4166	NAMED	GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2	adenine	adenine	73-24-5	185	HMDB0000034	C00147	190	Pos Early
881	400	573	155326	Nucleotide	Pyrimidine Metabolism, Cytidine containing	4271	NAMED	OPTASPLRGRRNAP-UHFFFAOYSA-N	NC1=NC(NC=C1)=O	cytosine	cytosine	71-30-7	577	HMDB0000630	C00380	597	Pos Early
882	209	604	126810	Nucleotide	Pyrimidine Metabolism, Thymine containing	4296	NAMED	RWQNBRDOKXIBIV-UHFFFAOYSA-N	O=C1C(C)=CNC(N1)=O	thymine	thymine	65-71-4	1103	HMDB0000262	C00178	1135	Neg
913	305	15586	146486	Carbohydrate	Glycogen Metabolism	1316	NAMED	GUBGYTABKSRVRQ-ASMJPISFSA-N	O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H](O[C@@H]2CO)O)O)O)O	maltose	maltose	6363-53-7	388469	HMDB0000163	C00208	10991489	Polar
915	305	15573	146482	Carbohydrate	Disaccharides and Oligosaccharides	1344	NAMED	HDTRYLNUVZCQOY-QYZOZNJRSA-N	O[C@H]1[C@@H]([C@H](O[C@@H]([C@@H]1O)O[C@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O)CO)O	trehalose	trehalose	6138-23-4	7149	HMDB0000975	C01083	7427	Polar
917	400	512	155306	Amino Acid	Alanine and Aspartate Metabolism	40	NAMED	DCXYFEDJOCDNAF-REOHCLBHSA-N	NC(C[C@H](N)C(O)=O)=O	asparagine	asparagine	70-47-3	6031	HMDB0000168	C00152	6267	Pos Early
923	305	601	145712	Nucleotide	Pyrimidine Metabolism, Orotate containing	4225	NAMED	UFIVEPVSAGBUSI-UHFFFAOYSA-N	O=C(C(NC1=O)CC(N1)=O)O	dihydroorotate	dihydroorotate	155-54-4	628	HMDB03349	C00337	648	Polar
936	400	608	155341	Cofactors and Vitamins	Vitamin B6 Metabolism	4465	NAMED	LXNHXLLTXMVWPM-UHFFFAOYSA-N	OC1=C(C)N=CC(CO)=C1CO	pyridoxine (vitamin B6)	pyridoxine (vitamin B6)	58-56-0	1025	HMDB0000239	D08454	1054	Pos Early
1001	400	32306	155905	Amino Acid	Urea cycle; Arginine and Proline Metabolism	520	NAMED	PMMYEEVYMWASQN-DMTCNVIQSA-N	O[C@@H]1C[C@@H](C(O)=O)NC1	trans-4-hydroxyproline	hydroxyproline	51-35-4	5605	HMDB0000725	C01157	5810	Pos Early
1002	305	1107	146424	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4152	NAMED	POJWUDADGALRAB-UHFFFAOYSA-N	O=C(N1)C(NC(N)=O)NC1=O	allantoin	allantoin	97-59-6	199	HMDB0000462	C02348,C01551,C02350	439714,204,439713	Polar
1004	305	3147	147146	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4140	NAMED	LRFVTYWOQMYALW-UHFFFAOYSA-N	O=C(N1)C(N=CN2)=C2NC1=O	xanthine	xanthine	69-89-6	1151	HMDB0000292	C00385	1188	Polar
1021	209	1494	123209	Amino Acid	Glutathione Metabolism	587	NAMED	ODHCTXKNWHHXJC-VKHMYHEASA-N	O=C1CC[C@@H]([C@@](O)=O)N1	5-oxoproline	5-oxoproline	98-79-3	7127	HMDB0000267	C02237,C01879	439685,7405	Neg
1024	209	1508	124797	Cofactors and Vitamins	Pantothenate and CoA Metabolism	4356	NAMED	GHOKWGTUZJEAQD-ZETCQYMHSA-N	O=C(NCCC(O)=O)[C@H](O)C(C)(C)CO	pantothenate	pantothenate (Vitamin B5)	137-08-6	6361	HMDB0000210	C00864	6613	Neg
1025	400	1444	155369	Amino Acid	Lysine Metabolism	133	NAMED	HXEACLLIILLPRG-UHFFFAOYSA-N	OC(C1NCCCC1)=O	pipecolate	pipecolate	4043-87-2		HMDB0000070			Pos Early
1049	400	21106	155741	Nucleotide	Pyrimidine Metabolism, Cytidine containing	4277	NAMED	LRSASMSXMSNRBT-UHFFFAOYSA-N	NC1=NC(NC=C1C)=O	5-methylcytosine	5-methylcytosine	58366-64-6	58551	HMDB0002894	C02376	65040	Pos Early
1052	305	1572	146444	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1259	NAMED	RBNPOMFGQQGHHO-UHFFFAOYSA-N	O=C(O)C(O)CO	glycerate	glycerate	600-19-1	732	HMDB0000139,HMDB0006372	C00258	439194,752	Polar
1053	305	3155	147504	Nucleotide	Pyrimidine Metabolism, Uracil containing	4257	NAMED	JSJWCHRYRHKBBW-UHFFFAOYSA-N	OC(CCNC(N)=O)=O	3-ureidopropionate	3-ureidopropionate	462-88-4	109	HMDB0000026	C02642	111	Polar
