LDM4_Mean	LR17938_Mean	LR6475_Mean	LR6475_LDM4	LR17938_LDM4	LR17938_LR6475	LR6475_LDM4_pval	LR6475_LDM4_qval	LR17938_LDM4_pval	LR17938_LDM4_qval	LR17938_LR6475_pval	LR17938_LR6475_qval	SuperPathway	SubPathway	ChemicalID	CAS	BiochemicalName
0.796286165	0.864416165	1.783940655	2.240326069	1.085559693	0.484554328	0.000469929	0.001547914	0.012048356	0.02249221	0.001189537	0.00329904	Amino Acid	Polyamine Metabolism	192	18233-70-0	N-acetylputrescine
0.353743155	1.174725924	0.977605999	2.763604002	3.320844254	1.201635347	7.28E-05	0.00030185	2.02E-05	9.69E-05	0.001847611	0.004708429	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	194	4289-98-9	N-formylmethionine
1.376181619	1.141866431	0.859859736	0.624815594	0.829735272	1.327968253	0.041620149	0.065756423	0.347321665	0.416461903	0.380535298	0.445885584	Xenobiotics	Chemical	203	79-14-1	glycolate (hydroxyacetate)
0.469315257	0.688018204	1.438162983	3.064385743	1.46600434	0.478400718	6.87E-08	6.09E-07	0.032540533	0.053154134	0.000614054	0.001893743	Nucleotide	Purine Metabolism, Adenine containing	211	16373-93-6	2'-deoxyadenosine
0.653188937	1.109976658	0.902184678	1.38120018	1.699319438	1.230320892	0.002723243	0.00652056	3.00E-05	0.000137736	0.076955901	0.112373105	Amino Acid	Polyamine Metabolism	212	2457-80-9	5-methylthioadenosine (MTA)
1.495658646	0.9945104	0.012086253	0.00808089	0.664931402	82.28442548	2.83E-14	2.18E-12	2.02E-08	1.97E-07	9.69E-14	5.75E-12	Amino Acid	Urea cycle; Arginine and Proline Metabolism	231	1119-34-2	arginine
1.843316436	0.02428371	0.489114522	0.265344849	0.013173924	0.049648311	0.638636591	0.699415925	0.049358234	0.075842845	0.049381463	0.075842845	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	233	134-03-2	ascorbate (vitamin C)
1.010172637	0.994722439	0.968175997	0.958426274	0.984705388	1.027419025	0.09108382	0.130047454	0.415469475	0.48068151	0.214596598	0.27714234	Amino Acid	Alanine and Aspartate Metabolism	234	56-84-8	aspartate
0.015290177	1.016075345	2.801012103	183.1903023	66.45281874	0.362752929	3.26E-13	1.48E-11	3.46E-11	7.21E-10	4.73E-06	2.62E-05	Amino Acid	Tyrosine Metabolism	240	6482-98-0	3-(4-hydroxyphenyl)lactate
0.293624553	3.915123376	0.971862655	3.309882114	13.33377383	4.028473937	2.37E-06	1.44E-05	7.85E-09	8.77E-08	1.52E-05	7.57E-05	Amino Acid	Phenylalanine Metabolism	241	156-06-9	phenylpyruvate
0.996862679	1.017491299	1.023524331	1.026745562	1.020693543	0.994105629	0.608575706	0.67030267	0.750200046	0.794511312	0.87596377	0.893344004	Cofactors and Vitamins	Biotin Metabolism	251	58-85-5	biotin
0.026929057	5.362076279	1.009690819	37.49447373	199.1186059	5.3106121	2.07E-12	6.66E-11	1.52E-10	2.60E-09	1.76E-05	8.61E-05	Energy	TCA Cycle	252	110-15-6	succinate
0.775791333	0.847743736	1.700119086	2.191464397	1.092747109	0.498637856	0.000335309	0.001159297	0.007190952	0.014363275	0.000958601	0.002803269	Lipid	Phospholipid Metabolism	267	72556-74-2	choline phosphate
0.002921683	0.93328527	1.785496107	611.1189786	319.4340994	0.522703615	4.87E-14	3.41E-12	1.69E-19	1.30E-16	0.000248754	0.000883821	Amino Acid	Creatine Metabolism	275	60-27-5	creatinine
1.536416455	0.819129416	0.58979667	0.383878127	0.533142829	1.388833571	0.024961616	0.041837839	0.03480685	0.056735902	0.179538437	0.238251524	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	279	56-89-3	cystine
0.997484594	0.936106082	0.936106082	0.938466707	0.938466707	1	0.01580668	0.027697614	0.01580668	0.027697614	0.340893132	0.410669695	Nucleotide	Pyrimidine Metabolism, Cytidine containing	282	63-37-6	cytidine 5'-monophosphate (5'-CMP)
2.586613581	0.761808239	1.012723279	0.391524767	0.294519539	0.752237314	9.43E-06	4.91E-05	1.27E-09	1.66E-08	0.045271985	0.070657288	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	301	490-83-5	dehydroascorbate
0.277514996	0.363591147	2.026690998	7.302996332	1.310167568	0.179401373	3.00E-10	4.72E-09	0.008555964	0.016616242	2.92E-08	2.74E-07	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	310	535-34-2	cystathionine
0.472972039	1.19706033	1.384938971	2.928162465	2.530932553	0.864341574	0.000116877	0.000459756	5.52E-05	0.000234016	0.486588952	0.553333454	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	311	454-29-5	homocysteine
1.077620119	0.880350044	0.930602453	0.863571899	0.816939132	0.946000133	0.223792992	0.288535781	0.064777714	0.096045419	0.850229142	0.872871729	Cofactors and Vitamins	Folate Metabolism	328	59-30-3	folate
0.999655294	38.46391903	0.15790174	0.157956189	38.47718232	243.5940159	1.24E-06	8.30E-06	5.63E-05	0.000237155	1.76E-06	1.11E-05	Energy	TCA Cycle	330	100-17-8	fumarate
0.946998597	0.99819802	1.192536085	1.259279675	1.054064941	0.837038001	0.044272592	0.069302053	0.648034548	0.706696799	0.137423649	0.186210253	Peptide	Gamma-glutamyl Amino Acid	331	1116-22-9	gamma-glutamylglutamate
1.160801944	1.18136497	1.149997621	0.990692363	1.017714501	1.027276013	0.886569553	0.901774571	0.768214999	0.810251388	0.665061963	0.721185335	Xenobiotics	Food Component/Plant	338	527-07-1	gluconate
0.893724211	1.4797224	0.877143629	0.981447764	1.655681229	1.686978451	0.832442268	0.863355967	0.100571899	0.140472706	0.091391199	0.130245128	Lipid	Fatty Acid, Dicarboxylate	339	110-94-1	glutarate (C5-DC)
1.067218868	0.998946315	0.930050344	0.871471046	0.936027599	1.074077679	0.000162776	0.000609225	0.00479832	0.010191474	0.014992679	0.026819851	Amino Acid	Glycine, Serine and Threonine Metabolism	340	56-40-6	glycine
0.467119229	0.467119229	0.996865562	2.134070919	1	0.468587989	0.005859923	0.012277176	0.340893132	0.410669695	0.005859923	0.012277176	Amino Acid	Histidine Metabolism	354	51-45-6	histamine
1.077936646	0.997555002	0.930705596	0.863414004	0.925430086	1.071826587	0.000422485	0.001416244	0.006850275	0.013898848	0.06159692	0.092037258	Amino Acid	Histidine Metabolism	355	5934-29-2	histidine
0.13102622	0.710300997	0.901014924	6.876600136	5.421059965	0.788334331	0.002824005	0.006638133	0.001655217	0.004301397	0.801706955	0.83755564	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	361	58-63-9	inosine
0.973786286	1.001030463	1.020555929	1.048028652	1.027977572	0.980867814	0.000523057	0.001687351	0.09791196	0.137504774	0.131445282	0.178737765	Amino Acid	Leucine, Isoleucine and Valine Metabolism	376	73-32-5	isoleucine
1.2086188	0.859541073	0.995217513	0.823433751	0.711176322	0.863671572	0.258265061	0.327503885	0.047720463	0.073584954	0.241787636	0.309052578	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	382	498-40-8	3-sulfo-alanine
0.001638691	1.521199952	0.99696741	608.3926877	928.3020873	1.525827161	8.39E-13	3.23E-11	7.41E-16	1.90E-13	0.005779305	0.012174438	Amino Acid	Urea cycle; Arginine and Proline Metabolism	391	372-75-8	citrulline
0.387836332	0.387836332	0.992553884	2.559208103	1	0.390745871	0.002928953	0.006770933	0.340893132	0.410669695	0.002928953	0.006770933	Carbohydrate	Disaccharides and Oligosaccharides	393	5965-66-2	lactose
0.969667048	0.988890242	1.046880248	1.07962857	1.019824531	0.944606839	0.015476493	0.027305209	0.585711051	0.651635238	0.078788051	0.114522079	Amino Acid	Leucine, Isoleucine and Valine Metabolism	397	61-90-5	leucine
0.965533091	0.995030019	1.116218849	1.15606483	1.030549888	0.89142915	4.09E-06	2.30E-05	0.025574545	0.042742805	1.62E-05	8.02E-05	Amino Acid	Lysine Metabolism	407	56-87-1	lysine
1.001819481	162.3046505	0.707602993	0.706317861	162.0098766	229.3724758	0.000544351	0.001734275	1.05E-05	5.37E-05	5.70E-06	3.09E-05	Energy	TCA Cycle	409	6915-15-7	malate
1.039594501	0.98551735	0.964721015	0.927978182	0.947982457	1.021556838	0.195674078	0.257448318	0.267433774	0.336914117	0.652086449	0.709109524	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	415	63-68-3	methionine
0.843549676	1.64003511	0.841939221	0.99809086	1.944206912	1.947925775	0.841604839	0.868817773	0.003677216	0.007986292	0.007616946	0.015058116	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	418	516-05-2	methylmalonate (MMA)
0.133469549	0.307292948	3.172553744	23.76986945	2.302345004	0.096859809	1.11E-09	1.53E-08	0.000992606	0.002877064	9.83E-07	6.71E-06	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	432	98-92-0	nicotinamide
0.004097658	1.057013034	3.791663598	925.3244532	257.9553756	0.278772894	2.46E-14	2.11E-12	7.69E-13	3.12E-11	7.77E-09	8.77E-08	Amino Acid	Urea cycle; Arginine and Proline Metabolism	444	3184-13-2	ornithine
0.221635281	2.676647818	1.079526629	4.870734592	12.0768129	2.479464374	6.22E-08	5.58E-07	1.07E-14	1.09E-12	7.46E-06	3.97E-05	Nucleotide	Pyrimidine Metabolism, Orotate containing	445	50887-69-9	orotate
1.020685949	0.983441958	0.978350493	0.958522544	0.963510822	1.005204132	0.041515821	0.065726279	0.027899762	0.046061492	0.779081098	0.819470022	Amino Acid	Phenylalanine Metabolism	460	63-91-2	phenylalanine
1.031792346	1.007632773	0.97744753	0.947329697	0.976584849	1.030881701	0.045974288	0.071464064	0.242111228	0.309052578	0.094439338	0.134093425	Energy	Oxidative Phosphorylation	461	7664-38-2	phosphate
1.00154143	1.008598644	0.985329968	0.983813489	1.007046353	1.023615111	0.307117571	0.380687536	0.69111879	0.745248373	0.302784209	0.376526815	Amino Acid	Urea cycle; Arginine and Proline Metabolism	480	147-85-3	proline
0.722738236	0.848494789	1.226074345	1.696429335	1.174000138	0.692041876	0.000127246	0.000498005	0.008414051	0.016381903	0.004369199	0.009383432	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	482	79-33-4	lactate
0.939339962	0.590736434	1.916371194	2.040125271	0.628884598	0.308257834	1.53E-06	9.89E-06	0.006716136	0.013699294	9.43E-06	4.91E-05	Cofactors and Vitamins	Riboflavin Metabolism	500	83-88-5	riboflavin (vitamin B2)
1.059715832	0.991217377	0.963500611	0.909206584	0.935361488	1.028766734	0.002047037	0.005157732	0.017714068	0.030417698	0.262420166	0.332226516	Amino Acid	Glycine, Serine and Threonine Metabolism	503	56-45-1	serine
0.630124273	0.800973764	1.838637661	2.917896895	1.271136184	0.435634373	9.11E-05	0.000369732	0.01010644	0.01933515	0.001267152	0.003464448	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	512	107-35-7	taurine
0.1058951	1.033979077	1.158271096	10.93791021	9.764182448	0.892691772	3.05E-08	2.84E-07	6.15E-10	8.95E-09	0.613452435	0.673749042	Nucleotide	Pyrimidine Metabolism, Uracil containing	535	58-96-8	uridine
1.02494641	0.991940394	0.984892278	0.960920755	0.967797325	1.00715623	0.007869918	0.015478844	0.013254736	0.024198676	0.607109391	0.669644264	Amino Acid	Glutamate Metabolism	561	56-86-0	glutamate
0.408300246	1.24883298	0.570528745	1.397326477	3.058614318	2.188904575	0.015435216	0.027298736	9.26E-11	1.70E-09	2.90E-05	0.000133855	Amino Acid	Glutamate Metabolism	563	56-85-9	glutamine
1.052631462	0.974668687	0.981222388	0.932161372	0.925935356	0.993320881	0.012323586	0.022895144	0.00106734	0.003047848	0.794027784	0.831787257	Amino Acid	Glycine, Serine and Threonine Metabolism	564	72-19-5	threonine
1.024510057	0.956182086	0.987866526	0.964233117	0.933306686	0.967926397	0.337838814	0.410669695	0.040546124	0.06458897	0.371936108	0.438475137	Amino Acid	Tryptophan Metabolism	565	73-22-3	tryptophan
0.988892684	1.013631611	1.000534928	1.011773011	1.025016797	1.013089681	0.421372732	0.485617902	0.158962688	0.212778181	0.403607089	0.468646184	Amino Acid	Leucine, Isoleucine and Valine Metabolism	566	72-18-4	valine
1.176213056	0.930840034	0.949511615	0.807261584	0.791387265	0.980335594	0.000559296	0.001767283	0.000183817	0.000678099	0.73063585	0.778557875	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	567	59-67-6	nicotinate
0.709985667	0.851552406	1.378576787	1.941696646	1.199393799	0.617704007	0.000959874	0.002803269	0.015724756	0.027679879	0.012409761	0.022958118	Cofactors and Vitamins	Vitamin B6 Metabolism	568	58052-48-5	pyridoxamine
1.115363394	0.955974308	0.981568123	0.880043337	0.857096721	0.973925585	1.96E-06	1.20E-05	0.026535005	0.043996751	0.578525453	0.644570988	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	572	50-99-7	glucose
0.188746233	0.652203725	1.361879068	7.215397355	3.455452943	0.478899882	0.000150224	0.00056776	0.014240842	0.025653479	0.113022539	0.155886185	Nucleotide	Purine Metabolism, Adenine containing	798	58-61-7	adenosine
0.025460686	0.985251533	1.476882566	58.00639427	38.69697576	0.66711569	8.49E-12	2.24E-10	2.17E-13	1.12E-11	0.002813605	0.006638133	Amino Acid	Glycine, Serine and Threonine Metabolism	799	107-43-7	betaine
1.324829873	0.956628339	1.171476373	0.884246647	0.722076365	0.816600625	0.731097148	0.778557875	0.286924081	0.357958684	0.4158425	0.48068151	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	800	52-90-4;56-89-3	cysteine
1.02319104	1.006925605	0.998851471	0.976212097	0.984103227	1.008083418	0.523926967	0.589704659	0.599631917	0.663294416	0.775584377	0.816906496	Amino Acid	Alanine and Aspartate Metabolism	811	56-41-7	alanine
1.11821514	0.980205141	0.941589954	0.842047224	0.876580102	1.041010619	0.001960075	0.004954814	0.018986147	0.032529598	0.30628708	0.380269466	Amino Acid	Tyrosine Metabolism	815	60-18-4	tyrosine
0.700823237	2.075528356	1.275778827	1.820400296	2.961557563	1.626871611	0.15780998	0.211602599	0.251319796	0.319221685	0.84765753	0.872446871	Lipid	Fatty Acid Synthesis	818	141-82-2;26522-22-85-0	malonate
0.705315554	0.915256905	1.407748381	1.995912856	1.297655922	0.650156603	2.87E-05	0.000133368	0.000921937	0.002723424	0.003125514	0.006970605	Nucleotide	Pyrimidine Metabolism, Uracil containing	821	1445-07-4	pseudouridine
0.268270913	2.602229045	0.863337082	3.218153891	9.700004436	3.014151829	1.04E-07	9.04E-07	4.47E-07	3.34E-06	0.000552242	0.001752174	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	823	127-17-3	pyruvate
1.026617846	1.105728095	0.895379334	0.872164202	1.077059102	1.234926978	0.017152004	0.029584328	0.055145741	0.083367385	0.001767285	0.004557113	Nucleotide	Pyrimidine Metabolism, Uracil containing	825	66-22-8	uracil
1.075919597	0.844768607	0.91204918	0.847692692	0.785159606	0.92623142	0.351890897	0.420632375	0.157332214	0.211329507	0.782126451	0.820434686	Carbohydrate	Pentose Metabolism	826	609-06-3	xylose
0.946902364	1.024166759	1.144001574	1.208151566	1.081597003	0.895249432	0.359276245	0.427777766	0.435950117	0.50166797	0.651944262	0.709109524	Nucleotide	Pyrimidine Metabolism, Cytidine containing	827	65-46-3	cytidine
21.89204724	0.822955694	0.889817935	0.040645716	0.037591537	0.924858515	1.22E-09	1.63E-08	2.78E-13	1.34E-11	0.844329238	0.870291233	Nucleotide	Pyrimidine Metabolism, Thymine containing	872	50-89-5	thymidine
1.295904769	0.859575266	0.991221904	0.764887921	0.66330126	0.867187521	0.00311744	0.006970605	3.93E-05	0.000174862	0.097035939	0.136990201	Cofactors and Vitamins	Thiamine Metabolism	873	59-43-8	thiamin (vitamin B1)
0.858581905	1.047515994	1.339116586	1.559684147	1.220053659	0.782244059	1.34E-07	1.12E-06	0.003128183	0.006970605	0.000613515	0.001893743	Carbohydrate	Fructose, Mannose and Galactose Metabolism	878	57-48-7	fructose
1.00333449	0.552170171	1.331194478	1.326770376	0.550335084	0.414793015	1.19E-06	8.05E-06	1.83E-06	1.15E-05	1.07E-07	9.19E-07	Nucleotide	Purine Metabolism, Adenine containing	880	73-24-5	adenine
2.189476746	0.406643327	2.019698826	0.922457308	0.18572626	0.201338597	0.206909845	0.269017691	1.68E-06	1.07E-05	0.086756057	0.124792761	Nucleotide	Pyrimidine Metabolism, Cytidine containing	881	71-30-7	cytosine
0.85565264	0.890605646	1.215046533	1.420023122	1.040849527	0.732980689	2.49E-06	1.50E-05	0.008269585	0.016141393	1.17E-05	5.93E-05	Nucleotide	Pyrimidine Metabolism, Thymine containing	882	65-71-4	thymine
3.771229739	0.826583875	0.973766593	0.2582093	0.219181522	0.848852159	9.88E-09	1.07E-07	6.30E-09	7.36E-08	0.179320132	0.238251524	Carbohydrate	Glycogen Metabolism	913	6363-53-7	maltose
0.461917075	0.610522655	1.606269459	3.477397881	1.321714843	0.380087321	1.11E-05	5.69E-05	0.081464093	0.117619505	0.000565375	0.0017792	Carbohydrate	Disaccharides and Oligosaccharides	915	6138-23-4	trehalose
1.092903283	0.994220971	0.962367414	0.880560456	0.909706271	1.033099164	0.000147886	0.000564011	0.00050677	0.001641681	0.110761453	0.153316122	Amino Acid	Alanine and Aspartate Metabolism	917	70-47-3	asparagine
0.949799351	1.130473142	0.946034084	0.996035724	1.190223115	1.194960268	0.923127334	0.935257785	0.196844259	0.258107013	0.135192764	0.183509897	Nucleotide	Pyrimidine Metabolism, Orotate containing	923	155-54-4	dihydroorotate
1.000015491	0.99299225	0.954932994	0.954918202	0.992976868	1.03985542	0.331061088	0.408396958	0.882777831	0.899103973	0.386217366	0.451172105	Cofactors and Vitamins	Vitamin B6 Metabolism	936	58-56-0	pyridoxine (vitamin B6)
0.896054905	1.097187064	1.172509145	1.308523774	1.224464102	0.93575992	0.207952431	0.269615001	0.193626855	0.255190266	0.819735832	0.852923517	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1001	51-35-4	trans-4-hydroxyproline
0.585395488	0.812905901	1.656786058	2.83019957	1.388643946	0.490652306	9.76E-05	0.000391914	0.000974314	0.002834703	0.003229049	0.007154014	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1002	97-59-6	allantoin
0.013369857	1.053727682	0.036450775	2.726339902	78.81368328	28.9082382	0.068467292	0.101126977	4.96E-19	1.91E-16	8.58E-07	5.96E-06	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1004	69-89-6	xanthine
0.09523642	0.988245682	1.821206573	19.12300545	10.37676222	0.542632393	1.71E-08	1.70E-07	1.00E-08	1.07E-07	0.001412935	0.003743549	Amino Acid	Glutathione Metabolism	1021	98-79-3	5-oxoproline
1.039883519	1.021909198	0.902649364	0.868029301	0.982715064	1.132121994	8.45E-05	0.000346344	0.560916408	0.626763116	0.002881028	0.006710792	Cofactors and Vitamins	Pantothenate and CoA Metabolism	1024	137-08-6	pantothenate
0.234473462	1.02331245	1.673664508	7.137969883	4.364299662	0.611420296	4.50E-06	2.51E-05	4.08E-06	2.30E-05	0.016759685	0.029102967	Amino Acid	Lysine Metabolism	1025	4043-87-2	pipecolate
0.660234749	0.847298781	1.491631487	2.25924414	1.283329578	0.568034926	0.000299228	0.001048659	0.003128108	0.006970605	0.006965534	0.014022002	Nucleotide	Pyrimidine Metabolism, Cytidine containing	1049	58366-64-6	5-methylcytosine
1.042147471	1.059630972	0.996032784	0.955750325	1.016776418	1.063851501	0.594456652	0.659461984	0.959414377	0.966939195	0.749490784	0.794511312	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1052	600-19-1	glycerate
0.465485475	0.649475375	1.143389958	2.456338641	1.395264536	0.568026132	9.31E-09	1.03E-07	0.035452836	0.057424657	0.001027684	0.002956508	Nucleotide	Pyrimidine Metabolism, Uracil containing	1053	462-88-4	3-ureidopropionate
0.837247084	0.910285682	1.382943815	1.651775017	1.087236611	0.658223184	0.000242783	0.000866602	0.001130503	0.003181086	0.001140997	0.00319894	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1082	1188-21-2	N-acetylleucine
0.844213023	0.992575702	1.166647882	1.381935424	1.175740809	0.850792872	0.000114741	0.000453669	0.020626338	0.034951443	0.015168985	0.027072425	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1083	65-82-7	N-acetylmethionine
0.63897433	0.854769611	1.101478175	1.723822262	1.337721362	0.77602047	5.06E-06	2.77E-05	0.016442721	0.028617016	0.038602553	0.061748067	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1084	96-81-1	N-acetylvaline
0.071560183	0.677665563	1.367888781	19.11522207	9.469869119	0.495409841	3.64E-06	2.08E-05	0.00237813	0.005802335	0.1306216	0.177931544	Nucleotide	Purine Metabolism, Guanine containing	1099	118-00-3	guanosine
0.724068936	0.85470912	1.700521111	2.348562446	1.180425064	0.502616001	0.000433579	0.001440901	0.013487893	0.024526334	0.002998663	0.006840145	Peptide	Gamma-glutamyl Amino Acid	1102	7432-23-7	gamma-glutamyltyrosine
0.958782617	1.081607132	0.911097325	0.950264751	1.128104654	1.187147742	0.373353965	0.439474667	0.028359258	0.04672006	0.019435752	0.033079393	Cofactors and Vitamins	Tocopherol Metabolism	1105	59-02-9;10191-41-0	alpha-tocopherol
1.005177047	0.885595622	1.177048837	1.170986584	0.881034465	0.752386472	0.3900616	0.454973515	0.457975368	0.524664203	0.112537292	0.155495075	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1107	616-91-1	N-acetylcysteine
0.071559346	1.031145133	1.585463173	22.1559203	14.40964998	0.650374698	4.63E-11	9.40E-10	9.96E-11	1.79E-09	4.85E-05	0.000208815	Amino Acid	Alanine and Aspartate Metabolism	1110	97-69-8	N-acetylalanine
1.028936112	0.035806863	1.050002258	1.020473717	0.03479989	0.034101701	0.380169249	0.445885584	4.24E-05	0.000185808	4.05E-05	0.000178507	Energy	TCA Cycle	1124	77-92-9	citrate
0.440905548	0.440905548	0.948114802	2.150380745	1	0.465033926	0.006479171	0.013356793	0.340893132	0.410669695	0.006479171	0.013356793	Nucleotide	Pyrimidine Metabolism, Uracil containing	1125	504-07-4	5,6-dihydrouracil
1.157728103	0.798975622	0.926362782	0.800155735	0.690123717	0.862486746	0.066334426	0.098164764	0.000753064	0.002294912	0.377051558	0.443150536	Amino Acid	Tyrosine Metabolism	1129	59-92-7;63-84-3	dihydroxyphenylalanine (DOPA)
0.067104567	0.985781678	1.799685617	26.81912278	14.69023234	0.547752156	4.82E-10	7.28E-09	1.87E-10	3.13E-09	0.001354196	0.003650646	Amino Acid	Tyrosine Metabolism	1133	60-19-5	tyramine
0.412048135	0.97236446	1.108739791	2.690801625	2.359832208	0.876999696	1.25E-06	8.30E-06	2.56E-09	3.14E-08	0.290620719	0.361984772	Peptide	Gamma-glutamyl Amino Acid	1140	10148-81-9	gamma-glutamylglutamine
0.364687991	5.914335037	1.028414984	2.819985876	16.21752068	5.750922662	1.83E-05	8.87E-05	2.05E-09	2.55E-08	2.30E-07	1.85E-06	Amino Acid	Tyrosine Metabolism	1141	156-39-8	4-hydroxyphenylpyruvate
0.491888853	0.491888853	1.055718189	2.146253536	1	0.465928178	0.003048267	0.006874422	0.340893132	0.410669695	0.003048267	0.006874422	Amino Acid	Polyamine Metabolism	1200	77928-70-2	N(1)-acetylspermine
0.705158732	1.063552364	1.28171778	1.817630161	1.508245329	0.829786697	0.000381249	0.001294902	0.001186837	0.00329904	0.145630029	0.196983776	Amino Acid	Phenylalanine Metabolism	1207	64-04-0	phenethylamine
0.751333367	0.837671871	1.650915346	2.197314025	1.114913709	0.50739844	0.000155981	0.00058664	0.010887305	0.020523502	0.00065069	0.001990802	Amino Acid	Creatine Metabolism	1221	57-00-1	creatine
0.711152968	1.06295352	1.590764259	2.236880573	1.494690408	0.668203044	0.2745835	0.345357061	0.098792087	0.138488544	0.966190784	0.972497513	Nucleotide	Pyrimidine Metabolism, Thymine containing	1248	33430-62-5	thymidine 5'-monophosphate
0.003078563	0.987759385	1.773071973	575.941488	320.8508276	0.557089278	1.66E-11	3.77E-10	5.29E-12	1.51E-10	0.001250666	0.003443799	Lipid	Phospholipid Metabolism	1256	67-48-1	choline
0.485842139	0.760814387	1.789787028	3.683885943	1.565970354	0.425086547	3.05E-05	0.000139316	0.002128703	0.00529429	0.002405549	0.005832321	Amino Acid	Tryptophan Metabolism	1258	118-92-3	anthranilate
0.529858832	1.645976967	1.063508826	2.007155043	3.106444337	1.547685291	0.000352154	0.001201375	2.81E-07	2.21E-06	0.007923331	0.015506316	Peptide	Gamma-glutamyl Amino Acid	1268	2566-39-4	gamma-glutamylleucine
0.823695244	1.303376357	0.838776793	1.018309623	1.582352656	1.553901309	0.897280434	0.911466686	0.002205136	0.005431821	0.002817259	0.006638133	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1442	625-08-1	beta-hydroxyisovalerate
