EnsemblID	Genename	Gene	UpperGroup	MiddleGroup	FinalGroup	Subtype	Cluster
ENSG00000167614	Protein tweety homolog 1;TTYH1	TTYH1	Environmental response/Signaling	Signaling	Signaling	Channel	4
ENSG00000169504	Chloride intracellular channel protein 4;CLIC4	CLIC4	Environmental response/Signaling	Signaling	Signaling	Channel	2
ENSG00000175514	Probable G-protein coupled receptor 152;GPR152	GPR152	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000182175	Repulsive guidance molecule A;RGMA	RGMA	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000183454	Glutamate receptor ionotropic, NMDA 2A;GRIN2A	GRIN2A	Environmental response/Signaling	Signaling	Signaling	Receptor	8
ENSG00000183960	Potassium voltage-gated channel subfamily H member 8;KCNH8	KCNH8	Environmental response/Signaling	Signaling	Signaling	Channel	1
ENSG00000184160	Alpha-2C adrenergic receptor;ADRA2C	ADRA2C	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000184350	Mas-related G-protein coupled receptor member E;MRGPRE	MRGPRE	Environmental response/Signaling	Signaling	Signaling	Receptor	2
ENSG00000188076	Secretoglobin family 1C member 1;SCGB1C1	SCGB1C1	Environmental response/Signaling	Signaling	Signaling	Secreted	1
ENSG00000196338	Neuroligin-3;NLGN3	NLGN3	Environmental response/Signaling	Signaling	Signaling	Cell adhesion	4
ENSG00000198576	Activity-regulated cytoskeleton-associated protein;ARC	ARC	Environmental response/Signaling	Signaling	Signaling	Intracellular	1
ENSG00000243896	Olfactory receptor 2A7;OR2A7	OR2A7	Environmental response/Signaling	Signaling	Signaling	Receptor	7
ENSG00000006210	Fractalkine;CX3CL1	CX3CL1	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	2
ENSG00000007171	Nitric oxide synthase, inducible;NOS2	NOS2	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	6
ENSG00000081041	C-X-C motif chemokine 2;CXCL2	CXCL2	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	6
ENSG00000099866	Mucosal addressin cell adhesion molecule 1;MADCAM1	MADCAM1	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	3
ENSG00000105639	Tyrosine-protein kinase JAK3;JAK3	JAK3	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	8
ENSG00000108691	C-C motif chemokine 2;CCL2	CCL2	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	2
ENSG00000109743	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2;BST1	BST1	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	5
ENSG00000110344	Ubiquitin conjugation factor E4 A;UBE4A	UBE4A	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	8
ENSG00000111331	2'-5'-oligoadenylate synthase 3;OAS3	OAS3	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	8
ENSG00000111335	2'-5'-oligoadenylate synthase 2;OAS2	OAS2	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	2
ENSG00000122756	Ciliary neurotrophic factor receptor subunit alpha;CNTFR	CNTFR	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	5
ENSG00000131019	UL16-binding protein 3;ULBP3	ULBP3	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	2
ENSG00000131142	C-C motif chemokine 25;CCL25	CCL25	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	3
ENSG00000132965	Arachidonate 5-lipoxygenase-activating protein;ALOX5AP	ALOX5AP	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	3
ENSG00000133475	Inactive glutathione hydrolase 2;GGT2	GGT2	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	4
ENSG00000136869	Toll-like receptor 4;TLR4	TLR4	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	2
ENSG00000137496	Interleukin-18-binding protein;IL18BP	IL18BP	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	5
ENSG00000138294	Beta-microseminoprotein;MSMB	MSMB	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	3
ENSG00000139626	Integrin beta-7;ITGB7	ITGB7	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	2
ENSG00000140279	Dual oxidase 2;DUOX2	DUOX2	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	7
ENSG00000144648	Atypical chemokine receptor 2;ACKR2	ACKR2	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	8
ENSG00000154127	Ubiquitin-associated and SH3 domain-containing protein B;UBASH3B	UBASH3B	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	8
ENSG00000160678	Protein S100-A1;S100A1	S100A1	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	3
ENSG00000163734	C-X-C motif chemokine 3;CXCL3	CXCL3	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	6
ENSG00000164822	Defensin-6;DEFA6	DEFA6	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	1
ENSG00000167618	Leukocyte-associated immunoglobulin-like receptor 2;LAIR2	LAIR2	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	3
ENSG00000169429	Interleukin-8;CXCL8	CXCL8	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	6
ENSG00000177076	Alkaline ceramidase 2;ACER2	ACER2	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	7
ENSG00000181634	Tumor necrosis factor ligand superfamily member 15;TNFSF15	TNFSF15	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	7
ENSG00000184995	Interferon epsilon;IFNE	IFNE	Environmental response/Signaling	Stress, Immune response	Immune response	Secreted	5
ENSG00000185885	Interferon-induced transmembrane protein 1;IFITM1	IFITM1	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	2
ENSG00000186810	C-X-C chemokine receptor type 3;CXCR3	CXCR3	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	5
ENSG00000188211	Natural cytotoxicity triggering receptor 3 ligand 1;NCR3LG1	NCR3LG1	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	7
ENSG00000197405	C5a anaphylatoxin chemotactic receptor 1;C5AR1	C5AR1	Environmental response/Signaling	Stress, Immune response	Immune response	Receptor	5
ENSG00000204257	HLA class II histocompatibility antigen, DM alpha chain;HLA-DMA	HLA-DMA	Environmental response/Signaling	Stress, Immune response	Immune response	Membrane-bound	5
ENSG00000245848	CCAAT/enhancer-binding protein alpha;CEBPA	CEBPA	Environmental response/Signaling	Stress, Immune response	Immune response	Intracellular	7
ENSG00000125144	Metallothionein-1G;MT1G	MT1G	Environmental response/Signaling	Stress, Immune response	Metal response	Secreted	3
ENSG00000125148	Metallothionein-2;MT2A	MT2A	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	3
ENSG00000155304	Heat shock 70 kDa protein 13;HSPA13	HSPA13	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	2
ENSG00000169715	Metallothionein-1E;MT1E	MT1E	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	3
ENSG00000198417	Metallothionein-1F;MT1F	MT1F	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	1
ENSG00000205358	Metallothionein-1H;MT1H	MT1H	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	3
ENSG00000205364	Metallothionein-1M;MT1M	MT1M	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	3
ENSG00000227184	Epiplakin;EPPK1	EPPK1	Environmental response/Signaling	Stress, Immune response	Metal response	Intracellular	7
ENSG00000165269	Aquaporin-7;AQP7	AQP7	Environmental response/Signaling	Stress, Immune response	Stress response	Channel	3
ENSG00000187688	Transient receptor potential cation channel subfamily V member 2;TRPV2	TRPV2	Environmental response/Signaling	Stress, Immune response	Stress response	Receptor	4
ENSG00000196689	Transient receptor potential cation channel subfamily V member 1;TRPV1	TRPV1	Environmental response/Signaling	Stress, Immune response	Stress response	Receptor	4
ENSG00000240583	Aquaporin-1;AQP1	AQP1	Environmental response/Signaling	Stress, Immune response	Stress response	Channel	5
